Name,Number_of_Employees,Wilaya,City
El-Boustane Taste Oasis,85,27,3322
El-Mesk Flavors Shack,24,11,555
El-baraka Cuisine Haven,73,19,3919
El-baraka Palace Kitchen,30,52,1492
El-Rahma Palace Kitchen,52,46,3405
Lalla Grill House,27,15,5053
El-Mesk Grill House,80,49,5154
El-Magharibi Palace Kitchen,56,11,780
El-Boustane Palace Kitchen,40,19,364
El-Djenina Grill House,70,33,2902
Lalla Flavors Shack,28,28,1738
El-baraka Taste Oasis,70,53,3498
El-Magharibi Taste Oasis,60,50,3072
El-Rahma Flavors Shack,29,43,3866
Lalla Palace Kitchen,26,28,1483
El-Mesk Taste Oasis,39,15,1640
El-Rahma Grill House,45,3,5637
El-Magharibi Grill House,98,47,2604
El-Rahma Grill House,25,35,5203
Lalla Taste Oasis,77,47,4716
El-baraka Grill House,64,9,4771
El-Magharibi Cuisine Haven,88,5,3366
El-Mesk Grill House,67,13,4509
El-Boustane Taste Oasis,47,50,4817
El-baraka Cuisine Haven,82,44,4976
El-baraka Cuisine Haven,70,57,4844
El-Magharibi Palace Kitchen,88,20,4662
Lalla Grill House,33,58,2838
El-baraka Grill House,76,55,4607
El-Boustane Grill House,94,40,5699
El-Rahma Palace Kitchen,22,53,5802
El-Magharibi Grill House,50,32,563
El-baraka Taste Oasis,20,10,212
El-Rahma Palace Kitchen,34,23,3427
El-Boustane Cuisine Haven,100,25,4805
El-Magharibi Flavors Shack,23,8,4821
El-Rahma Cuisine Haven,67,4,1841
El-Mesk Palace Kitchen,94,24,4343
El-baraka Taste Oasis,97,39,5151
Lalla Palace Kitchen,43,20,603
El-Mesk Palace Kitchen,47,29,3251
Lalla Grill House,24,30,5300
El-Djenina Cuisine Haven,76,16,213
El-Boustane Cuisine Haven,65,17,649
El-Magharibi Taste Oasis,39,11,1679
El-Boustane Flavors Shack,50,56,4898
Lalla Grill House,79,44,5296
El-baraka Grill House,45,31,1761
El-Magharibi Flavors Shack,76,9,4268
El-Magharibi Cuisine Haven,86,38,5761
El-Magharibi Taste Oasis,23,9,919
El-baraka Grill House,82,20,1993
El-Rahma Taste Oasis,42,4,4947
El-Magharibi Palace Kitchen,52,43,1548
El-Magharibi Palace Kitchen,26,36,190
El-Djenina Grill House,59,9,2661
El-Mesk Flavors Shack,66,36,4149
El-Rahma Palace Kitchen,54,9,1366
El-Magharibi Palace Kitchen,74,10,1342
El-Rahma Flavors Shack,90,26,1951
El-Boustane Flavors Shack,96,15,2605
El-Djenina Palace Kitchen,71,25,1782
El-Boustane Flavors Shack,28,2,2540
El-Djenina Taste Oasis,75,6,2573
El-Rahma Grill House,87,40,3096
El-Rahma Palace Kitchen,66,17,5352
El-Magharibi Palace Kitchen,73,30,4968
El-baraka Palace Kitchen,50,48,3015
Lalla Palace Kitchen,95,28,3230
El-baraka Flavors Shack,79,13,2173
El-baraka Taste Oasis,68,21,1018
El-Magharibi Taste Oasis,26,48,1869
El-Djenina Taste Oasis,22,28,2203
El-Djenina Grill House,45,43,1535
El-baraka Grill House,37,50,1661
El-Boustane Flavors Shack,24,19,4809
El-Boustane Taste Oasis,59,31,2211
El-Magharibi Palace Kitchen,63,26,4064
Lalla Palace Kitchen,68,7,809
Lalla Palace Kitchen,25,31,1653
El-Magharibi Cuisine Haven,89,52,804
El-Rahma Grill House,83,37,695
Lalla Flavors Shack,48,47,1274
El-Boustane Taste Oasis,78,35,3232
Lalla Grill House,47,11,5765
El-Magharibi Cuisine Haven,69,15,3279
El-baraka Cuisine Haven,85,19,490
El-Djenina Cuisine Haven,83,21,3340
El-Rahma Grill House,93,56,5500
El-Djenina Taste Oasis,27,26,257
El-Mesk Grill House,30,22,4345
Lalla Palace Kitchen,46,45,1190
Lalla Palace Kitchen,78,7,2585
El-baraka Flavors Shack,70,23,4935
El-Mesk Taste Oasis,42,14,1521
El-Magharibi Taste Oasis,43,50,3338
El-Boustane Flavors Shack,89,31,2195
El-Djenina Palace Kitchen,81,13,5368
El-Mesk Taste Oasis,84,56,4652
El-Djenina Flavors Shack,42,57,2044
El-baraka Cuisine Haven,62,4,3633
El-Djenina Grill House,27,9,4125
Lalla Cuisine Haven,21,7,4793
El-Boustane Taste Oasis,84,5,1735
El-Rahma Flavors Shack,28,42,4414
El-Djenina Palace Kitchen,99,34,1759
El-baraka Palace Kitchen,91,53,1606
El-Magharibi Flavors Shack,45,14,5586
Lalla Palace Kitchen,69,5,3845
Lalla Cuisine Haven,32,22,1700
El-Djenina Cuisine Haven,87,13,2770
El-Magharibi Cuisine Haven,85,37,1848
El-Rahma Palace Kitchen,65,3,1502
El-Rahma Grill House,46,27,1312
El-Rahma Taste Oasis,23,41,4525
Lalla Cuisine Haven,53,10,4676
El-Boustane Flavors Shack,31,56,2156
El-baraka Flavors Shack,29,42,365
El-Rahma Taste Oasis,87,40,4030
El-Magharibi Taste Oasis,58,54,1737
El-baraka Grill House,69,8,5325
El-Boustane Taste Oasis,67,10,2752
El-Boustane Cuisine Haven,41,2,3227
El-Magharibi Palace Kitchen,26,17,148
El-Magharibi Grill House,56,35,5090
El-Mesk Grill House,44,51,4958
El-Mesk Taste Oasis,69,49,4908
El-Boustane Palace Kitchen,53,28,4353
Lalla Palace Kitchen,20,45,180
El-Mesk Taste Oasis,83,21,3557
Lalla Cuisine Haven,52,47,5122
El-Mesk Flavors Shack,35,51,1568
Lalla Taste Oasis,70,49,2590
El-Mesk Taste Oasis,40,1,2114
El-Djenina Palace Kitchen,52,26,5753
El-Boustane Flavors Shack,90,19,1693
El-Djenina Taste Oasis,83,23,3429
El-baraka Taste Oasis,53,26,2362
El-Mesk Cuisine Haven,96,48,5667
El-Magharibi Taste Oasis,79,25,3489
El-Rahma Taste Oasis,37,2,3494
El-Mesk Palace Kitchen,26,19,2433
El-Mesk Taste Oasis,82,56,755
El-Rahma Taste Oasis,39,43,2212
Lalla Cuisine Haven,56,58,1379
El-Djenina Grill House,63,50,3686
El-Boustane Palace Kitchen,31,55,138
El-baraka Cuisine Haven,39,52,329
El-Rahma Cuisine Haven,32,56,2339
El-baraka Flavors Shack,93,44,377
El-Mesk Grill House,91,20,5550
El-baraka Flavors Shack,34,45,4285
El-Mesk Palace Kitchen,44,52,2566
El-baraka Grill House,59,35,3726
El-baraka Grill House,63,57,4119
El-Mesk Cuisine Haven,89,29,4328
Lalla Taste Oasis,83,56,5070
El-Djenina Flavors Shack,58,44,1675
El-Rahma Palace Kitchen,88,28,1911
El-Rahma Palace Kitchen,45,10,1449
Lalla Cuisine Haven,69,4,5704
El-baraka Taste Oasis,37,46,1794
El-baraka Cuisine Haven,61,4,4598
El-Mesk Flavors Shack,69,51,2155
El-baraka Taste Oasis,98,54,1451
El-Djenina Taste Oasis,89,6,5483
El-Boustane Grill House,31,7,4100
El-Rahma Taste Oasis,68,23,4235
Lalla Taste Oasis,39,3,1177
El-Magharibi Flavors Shack,90,26,4111
El-Magharibi Taste Oasis,34,50,864
El-Djenina Grill House,44,26,4937
Lalla Palace Kitchen,53,34,3216
El-Djenina Flavors Shack,56,17,2956
El-Boustane Taste Oasis,30,37,1751
El-Mesk Palace Kitchen,65,29,4540
El-Boustane Taste Oasis,23,35,5502
El-Rahma Cuisine Haven,28,19,1604
El-Djenina Palace Kitchen,86,19,3229
El-Mesk Palace Kitchen,96,46,1579
El-Mesk Cuisine Haven,25,51,5793
Lalla Taste Oasis,45,17,5362
El-Mesk Grill House,66,14,5717
El-Djenina Palace Kitchen,23,34,5461
El-Rahma Taste Oasis,31,39,2139
El-Magharibi Cuisine Haven,86,54,4841
El-Rahma Flavors Shack,20,46,2699
El-Rahma Palace Kitchen,25,57,1439
El-Rahma Flavors Shack,54,26,2619
El-Mesk Palace Kitchen,76,5,2533
El-baraka Taste Oasis,62,57,73
El-Mesk Cuisine Haven,65,56,1456
El-Boustane Flavors Shack,91,31,3771
El-baraka Grill House,86,33,4661
Lalla Taste Oasis,46,20,3061
El-Boustane Grill House,95,35,3059
El-Boustane Cuisine Haven,26,26,2635
El-baraka Flavors Shack,95,6,1576
El-Boustane Grill House,92,10,2635
El-baraka Taste Oasis,52,41,635
El-Djenina Flavors Shack,99,51,567
El-Magharibi Palace Kitchen,81,45,5489
El-Mesk Palace Kitchen,89,1,4674
El-Boustane Palace Kitchen,51,4,2630
El-Mesk Cuisine Haven,64,57,1139
El-Djenina Cuisine Haven,45,37,915
El-Boustane Grill House,47,41,1455
El-Magharibi Cuisine Haven,91,9,887
El-Boustane Cuisine Haven,78,15,1032
El-Magharibi Taste Oasis,79,20,3042
Lalla Palace Kitchen,29,19,1239
Lalla Cuisine Haven,56,54,360
El-Boustane Cuisine Haven,30,13,4735
El-Boustane Cuisine Haven,58,38,2769
Lalla Flavors Shack,28,30,1319
El-Magharibi Taste Oasis,66,39,3149
El-Mesk Flavors Shack,100,23,2535
El-Djenina Cuisine Haven,51,11,3067
El-Magharibi Taste Oasis,34,51,1405
Lalla Flavors Shack,91,35,4724
El-Djenina Flavors Shack,82,17,2973
El-Djenina Grill House,86,33,4453
El-Mesk Grill House,59,29,2131
El-Rahma Flavors Shack,44,24,1467
El-Djenina Taste Oasis,97,48,1840
Lalla Palace Kitchen,44,38,575
El-baraka Cuisine Haven,49,7,2445
El-Magharibi Cuisine Haven,25,40,3701
El-Rahma Grill House,26,31,4634
El-Djenina Cuisine Haven,40,1,2571
El-Djenina Palace Kitchen,30,58,1943
El-Rahma Grill House,61,27,385
Lalla Palace Kitchen,49,33,4740
El-Djenina Grill House,68,24,2695
El-Magharibi Taste Oasis,43,3,1167
Lalla Taste Oasis,97,7,4249
Lalla Flavors Shack,29,30,2202
El-Rahma Cuisine Haven,95,11,1579
El-Rahma Grill House,24,55,1495
El-Mesk Palace Kitchen,42,35,2454
El-Rahma Flavors Shack,50,53,1655
El-Magharibi Flavors Shack,43,18,3883
El-Magharibi Flavors Shack,72,21,3927
El-Magharibi Flavors Shack,39,37,3583
El-Mesk Taste Oasis,87,40,5598
El-baraka Palace Kitchen,89,40,2478
El-Djenina Grill House,72,43,813
Lalla Palace Kitchen,83,56,5304
El-Magharibi Flavors Shack,75,30,74
El-Mesk Grill House,51,22,1236
El-baraka Taste Oasis,71,27,2036
Lalla Taste Oasis,66,17,1489
El-Magharibi Grill House,93,46,1700
El-Rahma Palace Kitchen,36,10,3831
El-Djenina Taste Oasis,43,27,4530
El-Magharibi Cuisine Haven,68,44,2908
El-Magharibi Taste Oasis,85,9,3348
El-Mesk Palace Kitchen,28,47,1028
El-Magharibi Grill House,85,38,4779
Lalla Grill House,80,4,3673
El-baraka Palace Kitchen,31,17,1272
El-Djenina Flavors Shack,58,23,5310
El-Mesk Cuisine Haven,62,11,1134
El-Djenina Grill House,77,23,4907
El-Magharibi Grill House,77,17,1529
El-Rahma Palace Kitchen,58,20,377
El-Djenina Flavors Shack,81,33,3391
El-Mesk Palace Kitchen,32,37,422
El-Rahma Flavors Shack,34,27,5749
El-Rahma Taste Oasis,60,7,616
El-Magharibi Flavors Shack,39,27,1283
El-baraka Taste Oasis,86,29,2558
El-baraka Flavors Shack,30,3,4817
El-Mesk Grill House,29,31,1795
El-Mesk Palace Kitchen,65,33,782
El-Djenina Palace Kitchen,38,20,5183
El-Rahma Cuisine Haven,31,2,3480
El-Djenina Palace Kitchen,37,31,2178
El-baraka Grill House,61,34,3032
El-baraka Palace Kitchen,75,5,2002
Lalla Cuisine Haven,20,55,3531
El-Djenina Palace Kitchen,37,25,2484
El-baraka Taste Oasis,100,24,935
El-Magharibi Palace Kitchen,78,7,498
El-Rahma Grill House,96,15,1179
El-Boustane Taste Oasis,86,14,2089
El-baraka Cuisine Haven,83,33,578
El-Boustane Palace Kitchen,58,54,1726
El-Rahma Grill House,87,15,1417
El-Magharibi Cuisine Haven,28,45,602
Lalla Flavors Shack,79,54,901
El-Boustane Palace Kitchen,87,39,324
El-Rahma Flavors Shack,81,2,3734
El-Boustane Cuisine Haven,23,1,3517
El-baraka Grill House,65,40,2841
El-Boustane Grill House,71,57,3663
El-Djenina Cuisine Haven,73,46,3436
El-baraka Grill House,97,20,4976
El-Mesk Cuisine Haven,32,50,3200
Lalla Cuisine Haven,93,46,2497
Lalla Palace Kitchen,99,12,2381
El-Rahma Palace Kitchen,61,2,2056
Lalla Grill House,73,33,422
El-Magharibi Palace Kitchen,100,2,518
El-baraka Flavors Shack,69,37,2463
El-Boustane Cuisine Haven,40,11,4566
El-baraka Grill House,22,49,1945
El-Djenina Taste Oasis,47,38,188
El-Boustane Cuisine Haven,53,54,290
El-baraka Palace Kitchen,41,45,4771
El-Djenina Flavors Shack,38,9,1265
El-Rahma Flavors Shack,32,18,792
El-Mesk Grill House,66,15,1370
El-Magharibi Grill House,43,1,4331
El-Rahma Cuisine Haven,38,31,1946
El-Magharibi Flavors Shack,23,21,130
El-Magharibi Palace Kitchen,34,4,3932
Lalla Taste Oasis,29,40,1789
Lalla Grill House,63,46,1912
Lalla Taste Oasis,52,27,3014
El-Mesk Flavors Shack,87,24,4034
El-Boustane Taste Oasis,46,16,5480
El-Mesk Taste Oasis,86,47,5626
El-Magharibi Grill House,59,46,1911
El-Magharibi Cuisine Haven,96,56,2984
El-baraka Flavors Shack,39,17,4275
El-Mesk Flavors Shack,58,36,76
El-Mesk Taste Oasis,58,17,5076
El-baraka Grill House,81,21,5248
El-Boustane Grill House,88,11,2684
El-Boustane Cuisine Haven,82,6,880
Lalla Flavors Shack,83,55,2365
El-Magharibi Cuisine Haven,90,7,1729
El-Djenina Cuisine Haven,37,57,2736
El-baraka Grill House,80,56,2779
Lalla Cuisine Haven,37,6,723
El-Magharibi Grill House,39,14,3068
El-Rahma Taste Oasis,37,18,4553
El-Djenina Grill House,30,51,620
El-Boustane Palace Kitchen,45,16,2676
El-Boustane Taste Oasis,92,7,5486
El-baraka Grill House,59,58,5196
El-Rahma Grill House,21,23,3388
El-baraka Grill House,31,8,1568
El-baraka Palace Kitchen,85,20,177
El-Magharibi Palace Kitchen,65,18,460
Lalla Flavors Shack,50,1,3102
El-Magharibi Flavors Shack,47,49,5793
El-Boustane Palace Kitchen,74,23,1848
El-Boustane Cuisine Haven,93,14,2152
El-baraka Grill House,51,33,5082
El-Djenina Grill House,80,31,2731
El-Djenina Flavors Shack,54,26,4002
El-Magharibi Cuisine Haven,74,5,5079
El-Mesk Flavors Shack,20,44,2189
Lalla Flavors Shack,45,55,1404
El-Magharibi Palace Kitchen,100,57,3467
El-Mesk Taste Oasis,46,30,2729
El-Mesk Palace Kitchen,90,31,1310
El-Rahma Cuisine Haven,51,24,125
El-baraka Flavors Shack,20,43,2930
El-Mesk Taste Oasis,91,5,4057
El-Mesk Grill House,73,54,216
El-baraka Palace Kitchen,37,8,449
El-Magharibi Grill House,31,24,1192
El-Boustane Grill House,54,40,679
El-baraka Taste Oasis,35,56,3988
El-Boustane Taste Oasis,96,33,3983
El-Boustane Cuisine Haven,78,40,4038
El-Mesk Cuisine Haven,29,33,3253
El-Magharibi Taste Oasis,94,28,3060
El-baraka Taste Oasis,28,46,2375
El-Mesk Grill House,47,32,4667
El-baraka Palace Kitchen,38,7,2842
El-baraka Cuisine Haven,90,18,4410
Lalla Cuisine Haven,67,56,5704
El-Rahma Flavors Shack,74,4,3597
El-Boustane Flavors Shack,72,11,626
El-Djenina Taste Oasis,41,31,1836
El-Magharibi Flavors Shack,57,45,2044
El-baraka Palace Kitchen,59,46,1233
El-Rahma Flavors Shack,38,24,2872
El-baraka Palace Kitchen,31,44,732
Lalla Palace Kitchen,93,44,1725
El-Boustane Palace Kitchen,60,57,3406
El-Djenina Grill House,60,4,2916
El-Djenina Flavors Shack,86,26,157
El-Mesk Flavors Shack,91,21,2597
El-Rahma Flavors Shack,44,50,3797
Lalla Palace Kitchen,81,6,3287
El-Djenina Cuisine Haven,57,49,2056
El-Magharibi Grill House,47,8,198
El-Boustane Cuisine Haven,97,37,4474
El-Magharibi Cuisine Haven,56,26,5508
El-Djenina Palace Kitchen,77,55,417
El-Djenina Cuisine Haven,81,24,5391
Lalla Cuisine Haven,98,20,3839
El-Boustane Flavors Shack,53,48,3866
El-baraka Taste Oasis,38,48,1905
El-Magharibi Taste Oasis,76,31,3992
Lalla Cuisine Haven,31,28,257
Lalla Grill House,91,53,3419
El-baraka Flavors Shack,28,36,4074
El-Mesk Cuisine Haven,88,21,1438
El-Magharibi Flavors Shack,57,39,1185
El-Rahma Grill House,43,6,4130
El-Rahma Cuisine Haven,24,15,315
El-Djenina Palace Kitchen,45,43,5759
El-Djenina Cuisine Haven,51,57,3897
El-Mesk Grill House,58,17,4714
El-Boustane Palace Kitchen,84,58,4453
El-Magharibi Palace Kitchen,46,39,5630
El-Boustane Flavors Shack,65,52,5375
Lalla Taste Oasis,72,44,5662
El-Djenina Grill House,59,48,1790
Lalla Palace Kitchen,49,20,3741
Lalla Cuisine Haven,59,30,594
El-Boustane Cuisine Haven,21,8,3029
Lalla Grill House,31,30,960
El-Mesk Flavors Shack,34,8,4716
El-baraka Taste Oasis,86,55,2543
Lalla Cuisine Haven,47,11,563
Lalla Cuisine Haven,81,12,3933
El-Mesk Grill House,49,8,3552
El-Rahma Palace Kitchen,99,7,5063
El-Magharibi Cuisine Haven,100,51,3259
El-Mesk Flavors Shack,63,42,1748
El-Boustane Palace Kitchen,86,21,3058
El-Mesk Grill House,63,44,1632
El-Boustane Flavors Shack,71,39,2521
Lalla Palace Kitchen,54,54,1925
Lalla Flavors Shack,44,45,1823
El-baraka Flavors Shack,97,28,1734
El-Mesk Grill House,97,36,607
El-Rahma Palace Kitchen,78,35,3355
El-Rahma Taste Oasis,70,35,89
El-baraka Grill House,30,32,3722
El-Rahma Palace Kitchen,100,3,4948
El-Magharibi Cuisine Haven,71,37,5713
Lalla Cuisine Haven,32,23,5237
El-Djenina Taste Oasis,38,21,1331
Lalla Grill House,91,19,2237
El-Mesk Cuisine Haven,99,4,1007
El-Rahma Flavors Shack,29,24,4824
El-baraka Taste Oasis,93,21,3309
El-baraka Taste Oasis,83,30,5429
El-Magharibi Grill House,33,16,2881
El-Magharibi Grill House,69,35,4418
El-Mesk Cuisine Haven,68,20,4819
Lalla Palace Kitchen,86,7,3785
El-Magharibi Palace Kitchen,34,13,2551
El-Mesk Grill House,67,33,409
El-Boustane Grill House,44,43,4333
El-baraka Flavors Shack,68,10,1674
El-baraka Taste Oasis,78,23,1990
El-Djenina Grill House,95,19,5228
El-Mesk Flavors Shack,20,51,3371
El-Djenina Cuisine Haven,41,34,1244
El-Magharibi Flavors Shack,53,30,4181
Lalla Cuisine Haven,74,5,4403
El-baraka Taste Oasis,74,6,3360
El-Boustane Cuisine Haven,72,10,5274
El-Rahma Taste Oasis,88,44,1974
El-baraka Palace Kitchen,29,56,3437
El-baraka Cuisine Haven,77,14,4755
El-Djenina Cuisine Haven,62,26,4362
El-baraka Flavors Shack,45,57,3871
Lalla Taste Oasis,41,30,2086
El-Boustane Flavors Shack,30,53,4725
El-baraka Grill House,29,43,1420
El-Djenina Taste Oasis,76,48,162
El-baraka Flavors Shack,57,39,4597
El-Rahma Palace Kitchen,64,28,3729
El-Rahma Flavors Shack,53,55,71
El-Rahma Palace Kitchen,36,38,3061
El-Mesk Palace Kitchen,42,7,1237
El-Rahma Flavors Shack,25,30,4695
El-Boustane Cuisine Haven,33,21,4720
El-Magharibi Taste Oasis,60,31,416
El-Mesk Flavors Shack,36,34,5234
El-Magharibi Taste Oasis,85,5,3470
El-Djenina Taste Oasis,83,41,1287
El-Magharibi Flavors Shack,78,22,507
El-baraka Grill House,93,10,3808
El-baraka Flavors Shack,67,14,3318
Lalla Palace Kitchen,22,3,4898
El-Rahma Grill House,27,17,3800
El-Boustane Flavors Shack,46,17,2028
Lalla Palace Kitchen,23,55,3237
El-Mesk Palace Kitchen,63,43,2800
El-baraka Flavors Shack,87,56,5500
El-baraka Palace Kitchen,55,45,5763
El-Magharibi Palace Kitchen,22,28,4002
El-Rahma Palace Kitchen,98,49,1187
El-Mesk Flavors Shack,28,41,2689
El-Rahma Palace Kitchen,99,37,1012
Lalla Taste Oasis,40,16,1699
El-Magharibi Cuisine Haven,26,14,3086
El-Djenina Taste Oasis,67,34,2138
El-Djenina Cuisine Haven,48,16,829
El-Rahma Flavors Shack,36,12,1717
El-Magharibi Taste Oasis,86,20,1387
El-baraka Cuisine Haven,51,1,367
El-Boustane Palace Kitchen,30,8,3652
El-Magharibi Taste Oasis,68,54,1868
Lalla Cuisine Haven,33,48,3754
El-Rahma Grill House,37,12,5169
El-Magharibi Grill House,61,8,2407
Lalla Taste Oasis,94,17,569
El-baraka Cuisine Haven,39,31,2989
Lalla Taste Oasis,87,56,1666
Lalla Palace Kitchen,81,6,542
El-baraka Taste Oasis,37,19,2989
El-Magharibi Palace Kitchen,91,48,857
El-Rahma Cuisine Haven,22,58,5429
El-Mesk Flavors Shack,26,49,3870
El-Djenina Palace Kitchen,90,15,3721
El-Mesk Grill House,90,16,1347
El-Magharibi Cuisine Haven,24,29,5578
El-Djenina Palace Kitchen,60,27,4185
Lalla Taste Oasis,50,22,2928
El-Rahma Flavors Shack,44,32,1596
El-Magharibi Flavors Shack,74,11,2775
El-Boustane Cuisine Haven,94,1,2925
Lalla Palace Kitchen,88,40,2132
Lalla Grill House,59,38,4176
El-Magharibi Taste Oasis,91,5,5755
El-Rahma Taste Oasis,78,52,894
